tic,time,open,high,low,close,volume,day
603825.SH,2022-04-18,16.42,16.76,15.9,16.65,81443.0,0
688365.SH,2022-04-18,9.14,9.46,8.9,9.44,17256.45,0
002193.SZ,2022-04-19,5.77,5.82,5.66,5.82,23252.0,1
002633.SZ,2022-04-19,8.33,8.69,8.33,8.64,19989.0,1
600243.SH,2022-04-19,4.5,4.68,4.42,4.53,558492.23,1
603825.SH,2022-04-19,16.5,17.25,16.42,17.25,86703.0,1
688365.SH,2022-04-19,9.44,9.59,9.23,9.37,9950.2,1
002193.SZ,2022-04-20,5.79,5.91,5.76,5.78,26124.9,2
002633.SZ,2022-04-20,8.63,8.77,8.41,8.54,16157.02,2
600243.SH,2022-04-20,4.42,4.51,4.34,4.45,328398.73,2
603825.SH,2022-04-20,17.44,17.56,16.7,16.87,65833.9,2
688365.SH,2022-04-20,9.5,9.5,9.11,9.15,12173.3,2
002193.SZ,2022-04-21,5.75,5.95,5.65,5.68,53470.9,3
002633.SZ,2022-04-21,8.47,8.5,8.07,8.15,16901.01,3
600243.SH,2022-04-21,4.35,4.4,4.07,4.11,253725.11,3
603825.SH,2022-04-21,16.9,17.05,15.82,15.88,72131.39,3
688365.SH,2022-04-21,9.2,9.25,8.72,8.89,13311.73,3
002193.SZ,2022-04-22,5.67,6.07,5.62,5.96,94923.27,4
002633.SZ,2022-04-22,8.15,8.27,7.91,8.1,23350.0,4
600243.SH,2022-04-22,4.13,4.52,4.12,4.52,346416.4,4
603825.SH,2022-04-22,15.81,15.83,15.35,15.35,60249.52,4
688365.SH,2022-04-22,8.88,8.96,8.65,8.67,13781.54,4
002193.SZ,2022-04-25,5.72,5.8,5.36,5.38,93052.69,0
002633.SZ,2022-04-25,8.0,8.03,7.5,7.58,25902.0,0
600243.SH,2022-04-25,4.52,4.7,4.42,4.44,758486.52,0
603825.SH,2022-04-25,15.0,15.0,13.9,13.91,81608.6,0
688365.SH,2022-04-25,8.53,8.65,7.73,7.79,33727.73,0
002193.SZ,2022-04-26,5.36,5.36,4.84,4.84,57029.06,1
002633.SZ,2022-04-26,7.56,7.69,7.2,7.2,25725.0,1
600243.SH,2022-04-26,4.0,4.64,4.0,4.49,527432.12,1
603825.SH,2022-04-26,14.05,14.22,13.5,13.54,61675.0,1
688365.SH,2022-04-26,7.92,7.93,7.45,7.51,19802.58,1
002193.SZ,2022-04-27,4.69,4.86,4.36,4.83,62021.56,2
002633.SZ,2022-04-27,7.1,7.39,6.8,7.07,38356.61,2
600243.SH,2022-04-27,4.3,4.4,4.04,4.16,532940.1,2
603825.SH,2022-04-27,13.17,13.88,12.88,13.79,94717.26,2
688365.SH,2022-04-27,7.28,7.74,7.25,7.7,27015.36,2
002193.SZ,2022-04-28,4.82,4.93,4.61,4.63,39470.01,3
002633.SZ,2022-04-28,7.01,7.18,6.85,7.02,20222.01,3
600243.SH,2022-04-28,4.02,4.58,3.97,4.58,390594.65,3
603825.SH,2022-04-28,13.71,13.84,12.95,13.16,84771.0,3
688365.SH,2022-04-28,7.62,7.72,7.29,7.38,26557.83,3
002193.SZ,2022-04-29,4.7,5.09,4.7,5.09,14167.79,4
002633.SZ,2022-04-29,7.0,7.58,7.0,7.45,16124.02,4
600243.SH,2022-04-29,4.89,5.04,4.78,5.04,523115.47,4
603825.SH,2022-04-29,13.34,14.48,13.34,14.48,84743.84,4
688365.SH,2022-04-29,7.26,8.08,7.24,7.94,41464.81,4
002193.SZ,2022-05-05,5.31,5.4,4.99,5.3,83969.74,3
002633.SZ,2022-05-05,7.41,7.58,7.3,7.45,10879.02,3
600243.SH,2022-05-05,5.3,5.49,4.72,5.04,1069274.51,3
603825.SH,2022-05-05,14.6,14.88,14.19,14.67,113822.85,3
688365.SH,2022-05-05,7.8,8.12,7.63,8.05,39686.52,3
002193.SZ,2022-05-06,5.2,5.83,4.91,5.83,75090.17,4
002633.SZ,2022-05-06,7.25,7.45,7.25,7.36,10538.0,4
600243.SH,2022-05-06,4.71,5.54,4.71,5.54,835816.38,4
603825.SH,2022-05-06,14.2,14.88,14.05,14.57,77770.28,4
688365.SH,2022-05-06,7.75,8.24,7.75,7.95,26037.64,4
002193.SZ,2022-05-09,5.84,6.1,5.51,5.72,140597.31,0
002633.SZ,2022-05-09,7.45,7.59,7.31,7.49,8519.0,0
600243.SH,2022-05-09,5.6,5.97,5.3,5.47,1080075.93,0
603825.SH,2022-05-09,15.01,15.33,14.81,14.96,101936.54,0
688365.SH,2022-05-09,7.81,8.2,7.81,8.01,15475.55,0
002193.SZ,2022-05-10,5.63,5.69,5.47,5.63,80703.63,1
002633.SZ,2022-05-10,7.36,7.57,7.36,7.56,10296.0,1
600243.SH,2022-05-10,5.26,5.49,5.08,5.2,718351.96,1
603825.SH,2022-05-10,14.88,14.98,14.5,14.97,82884.79,1
688365.SH,2022-05-10,7.9,8.13,7.9,8.05,20187.6,1
002193.SZ,2022-05-11,5.62,5.76,5.56,5.63,63082.0,2
600243.SH,2022-05-11,5.2,5.54,5.11,5.24,706924.4,2
603825.SH,2022-05-11,14.87,15.31,14.74,14.77,116918.0,2
688365.SH,2022-05-11,8.16,8.46,8.09,8.14,27921.45,2
002193.SZ,2022-05-12,5.6,5.73,5.55,5.67,54492.82,3
600243.SH,2022-05-12,5.07,5.41,5.02,5.39,607915.75,3
603825.SH,2022-05-12,14.58,15.26,14.53,14.97,80712.19,3
688365.SH,2022-05-12,8.0,8.36,7.97,8.16,23838.15,3
002193.SZ,2022-05-13,5.67,5.85,5.64,5.7,49088.32,4
600243.SH,2022-05-13,5.35,5.35,5.11,5.13,391977.0,4
603825.SH,2022-05-13,14.94,15.1,14.77,14.96,48606.77,4
688365.SH,2022-05-13,8.21,8.25,8.1,8.15,12136.22,4
002193.SZ,2022-05-16,5.71,5.78,5.61,5.69,33952.0,0
600243.SH,2022-05-16,5.11,5.17,4.81,4.91,463492.3,0
603825.SH,2022-05-16,15.0,15.3,14.87,15.09,74473.0,0
688365.SH,2022-05-16,8.24,8.43,8.13,8.19,19997.06,0
002193.SZ,2022-05-17,5.64,5.67,5.5,5.52,30718.0,1
600243.SH,2022-05-17,4.9,5.2,4.83,5.12,540786.0,1
603825.SH,2022-05-17,15.26,15.5,14.71,15.42,101145.0,1
688365.SH,2022-05-17,8.25,8.25,8.03,8.13,16022.64,1
002193.SZ,2022-05-18,5.53,5.82,5.51,5.72,54242.1,2
002633.SZ,2022-05-18,8.32,8.32,8.32,8.32,4214.01,2
600243.SH,2022-05-18,5.02,5.13,4.93,4.95,324081.0,2
